,日期,轮次,主队,比分,客队,主队指数,平指数,客队指数,分析,empty,year
0,09-12 19:30,1,富勒姆,0-3, 阿森纳,4.72,3.83,1.67,欧/析,,20-21
1,09-12 22:00,1,水晶宫,1-0, 南安普敦,2.91,3.19,2.54,欧/析,,20-21
2,09-13 00:30,1,利物浦,4-3, 利兹联,1.26,5.93,10.18,欧/析,,20-21
3,09-13 03:00,1,西汉姆,0-2, 纽卡斯尔,2.20,3.32,3.22,欧/析,,20-21
4,09-13 21:00,1,西布朗,0-3, 莱切城,3.80,3.59,1.97,欧/析,,20-21
5,09-13 23:30,1,热刺,0-1, 埃弗顿,1.85,3.48,4.09,欧/析,,20-21
6,09-15 01:00,1,谢菲联,0-2, 狼队,3.38,3.13,2.28,欧/析,,20-21
7,09-15 03:15,1,布莱顿,1-3, 切尔西,4.47,3.74,1.79,欧/析,,20-21
8,01-13 04:15,1,伯恩利,0-1, 曼联,5.58,4.18,1.56,欧/析,,20-21
9,01-21 02:00,1,曼城,2-0, 维拉,1.19,7.30,11.61,欧/析,,20-21
0,09-19 19:30,2,埃弗顿,5-2, 西布朗,1.58,3.63,6.69,欧/析,,20-21
1,09-19 22:00,2,利兹联,4-3, 富勒姆,1.80,3.61,4.51,欧/析,,20-21
2,09-20 00:30,2,曼联,1-3, 水晶宫,1.24,5.89,12.73,欧/析,,20-21
3,09-20 03:00,2,阿森纳,2-1, 西汉姆,1.54,3.81,6.62,欧/析,,20-21
4,09-20 19:00,2,南安普敦,2-5, 热刺,3.10,3.43,2.25,欧/析,,20-21
5,09-20 21:00,2,纽卡斯尔,0-3, 布莱顿,2.42,3.35,2.89,欧/析,,20-21
6,09-20 23:30,2,切尔西,0-2, 利物浦,3.19,3.52,2.17,欧/析,,20-21
7,09-21 02:00,2,莱切城,4-2, 伯恩利,1.67,3.63,5.27,欧/析,,20-21
8,09-22 01:00,2,维拉,1-0, 谢菲联,2.57,3.42,2.62,欧/析,,20-21
9,09-22 03:15,2,狼队,1-3, 曼城,6.66,4.17,1.50,欧/析,,20-21
0,09-26 19:30,3,布莱顿,2-3, 曼联,5.66,3.94,1.61,欧/析,,20-21
1,09-26 22:00,3,水晶宫,1-2, 埃弗顿,3.58,3.26,2.13,欧/析,,20-21
2,09-27 00:30,3,西布朗,3-3, 切尔西,6.64,4.46,1.47,欧/析,,20-21
3,09-27 03:00,3,伯恩利,0-1, 南安普敦,2.89,3.21,2.51,欧/析,,20-21
4,09-27 19:00,3,谢菲联,0-1, 利兹联,2.43,3.17,2.98,欧/析,,20-21
5,09-27 21:00,3,热刺,1-1, 纽卡斯尔,1.48,4.39,6.53,欧/析,,20-21
6,09-27 23:30,3,曼城,2-5, 莱切城,1.31,5.78,8.54,欧/析,,20-21
7,09-28 02:00,3,西汉姆,4-0, 狼队,3.24,3.19,2.29,欧/析,,20-21
8,09-29 00:45,3,富勒姆,0-3, 维拉,2.59,3.27,2.71,欧/析,,20-21
9,09-29 03:00,3,利物浦,3-1, 阿森纳,1.49,4.56,5.96,欧/析,,20-21
0,10-03 19:30,4,切尔西,4-0, 水晶宫,1.36,5.12,8.12,欧/析,,20-21
1,10-03 22:00,4,埃弗顿,4-2, 布莱顿,1.68,3.73,5.13,欧/析,,20-21
2,10-04 00:30,4,利兹联,1-1, 曼城,7.87,5.25,1.35,欧/析,,20-21
3,10-04 03:00,4,纽卡斯尔,3-1, 伯恩利,2.46,3.10,3.10,欧/析,,20-21
4,10-04 19:00,4,莱切城,0-3, 西汉姆,1.54,4.27,5.76,欧/析,,20-21
5,10-04 19:00,4,南安普敦,2-0, 西布朗,1.74,3.66,4.70,欧/析,,20-21
6,10-04 21:00,4,阿森纳,2-1, 谢菲联,1.55,3.93,6.35,欧/析,,20-21
7,10-04 21:00,4,狼队,1-0, 富勒姆,1.49,4.17,7.12,欧/析,,20-21
8,10-04 23:30,4,曼联,1-6, 热刺,1.94,3.50,3.89,欧/析,,20-21
9,10-05 02:15,4,维拉,7-2, 利物浦,7.95,5.10,1.35,欧/析,,20-21
0,10-17 19:30,5,埃弗顿,2-2, 利物浦,5.17,4.17,1.62,欧/析,,20-21
1,10-17 22:00,5,切尔西,3-3, 南安普敦,1.52,4.64,5.67,欧/析,,20-21
2,10-18 00:30,5,曼城,1-0, 阿森纳,1.41,5.16,6.75,欧/析,,20-21
3,10-18 03:00,5,纽卡斯尔,1-4, 曼联,5.64,4.22,1.56,欧/析,,20-21
4,10-18 19:00,5,谢菲联,1-1, 富勒姆,1.84,3.41,4.71,欧/析,,20-21
5,10-18 21:00,5,水晶宫,1-1, 布莱顿,2.54,3.16,2.96,欧/析,,20-21
6,10-18 23:30,5,热刺,3-3, 西汉姆,1.51,4.37,6.24,欧/析,,20-21
7,10-19 02:15,5,莱切城,0-1, 维拉,1.60,4.25,5.36,欧/析,,20-21
8,10-20 00:30,5,西布朗,0-0, 伯恩利,2.65,3.19,2.76,欧/析,,20-21
9,10-20 03:00,5,利兹联,0-1, 狼队,2.79,3.21,2.59,欧/析,,20-21
0,10-24 03:00,6,维拉,0-3, 利兹联,2.72,3.42,2.54,欧/析,,20-21
1,10-24 19:30,6,西汉姆,1-1, 曼城,9.07,5.82,1.31,欧/析,,20-21
2,10-24 22:00,6,富勒姆,1-2, 水晶宫,3.12,3.39,2.31,欧/析,,20-21
3,10-25 00:30,6,曼联,0-0, 切尔西,2.48,3.49,2.76,欧/析,,20-21
4,10-25 03:00,6,利物浦,2-1, 谢菲联,1.20,7.27,13.01,欧/析,,20-21
5,10-25 22:00,6,南安普敦,2-0, 埃弗顿,3.10,3.48,2.25,欧/析,,20-21
6,10-26 00:30,6,狼队,1-1, 纽卡斯尔,1.63,3.87,5.54,欧/析,,20-21
7,10-26 03:15,6,阿森纳,0-1, 莱切城,1.99,3.74,3.51,欧/析,,20-21
8,10-27 01:30,6,布莱顿,1-1, 西布朗,1.95,3.59,3.85,欧/析,,20-21
9,10-27 04:00,6,伯恩利,0-1, 热刺,4.87,3.96,1.69,欧/析,,20-21
0,10-31 04:00,7,狼队,2-0, 水晶宫,1.78,3.51,4.82,欧/析,,20-21
1,10-31 20:30,7,谢菲联,0-1, 曼城,10.52,6.45,1.25,欧/析,,20-21
2,10-31 23:00,7,伯恩利,0-3, 切尔西,5.51,4.36,1.55,欧/析,,20-21
3,11-01 01:30,7,利物浦,2-1, 西汉姆,1.25,6.07,11.47,欧/析,,20-21
4,11-01 20:00,7,维拉,3-4, 南安普敦,2.56,3.55,2.64,欧/析,,20-21
5,11-01 22:00,7,纽卡斯尔,2-1, 埃弗顿,3.66,3.43,2.04,欧/析,,20-21
6,11-02 00:30,7,曼联,0-1, 阿森纳,2.10,3.60,3.32,欧/析,,20-21
7,11-02 03:15,7,热刺,2-1, 布莱顿,1.57,4.15,5.49,欧/析,,20-21
8,11-03 01:30,7,富勒姆,2-0, 西布朗,2.45,3.34,2.87,欧/析,,20-21
9,11-03 04:00,7,利兹联,1-4, 莱切城,2.74,3.44,2.50,欧/析,,20-21
0,11-07 01:30,8,布莱顿,0-0, 伯恩利,1.97,3.59,3.72,欧/析,,20-21
1,11-07 04:00,8,南安普敦,2-0, 纽卡斯尔,1.75,3.76,4.62,欧/析,,20-21
2,11-07 20:30,8,埃弗顿,1-3, 曼联,2.77,3.47,2.46,欧/析,,20-21
3,11-07 23:00,8,水晶宫,4-1, 利兹联,2.96,3.24,2.44,欧/析,,20-21
4,11-08 01:30,8,切尔西,4-1, 谢菲联,1.34,5.23,8.66,欧/析,,20-21
5,11-08 04:00,8,西汉姆,1-0, 富勒姆,1.97,3.46,3.87,欧/析,,20-21
6,11-08 20:00,8,西布朗,0-1, 热刺,5.62,4.19,1.57,欧/析,,20-21
7,11-08 22:00,8,莱切城,1-0, 狼队,2.18,3.32,3.40,欧/析,,20-21
8,11-09 00:30,8,曼城,1-1, 利物浦,2.04,3.78,3.35,欧/析,,20-21
9,11-09 03:15,8,阿森纳,0-3, 维拉,1.57,4.15,5.46,欧/析,,20-21
0,11-21 20:30,9,纽卡斯尔,0-2, 切尔西,5.58,4.24,1.57,欧/析,,20-21
1,11-21 23:00,9,维拉,1-2, 布莱顿,2.30,3.40,3.07,欧/析,,20-21
2,11-22 01:30,9,热刺,2-0, 曼城,3.91,3.88,1.85,欧/析,,20-21
3,11-22 04:00,9,曼联,1-0, 西布朗,1.33,5.25,8.92,欧/析,,20-21
4,11-22 20:00,9,富勒姆,2-3, 埃弗顿,4.25,3.87,1.78,欧/析,,20-21
5,11-22 22:00,9,谢菲联,0-1, 西汉姆,2.70,3.28,2.61,欧/析,,20-21
6,11-23 00:30,9,利兹联,0-0, 阿森纳,3.18,3.40,2.22,欧/析,,20-21
7,11-23 03:15,9,利物浦,3-0, 莱切城,1.56,4.39,5.27,欧/析,,20-21
8,11-24 01:30,9,伯恩利,1-0, 水晶宫,2.60,3.25,2.76,欧/析,,20-21
9,11-24 04:00,9,狼队,1-1, 南安普敦,2.24,3.32,3.27,欧/析,,20-21
0,11-28 04:00,10,水晶宫,0-2, 纽卡斯尔,2.25,3.27,3.32,欧/析,,20-21
1,11-28 20:30,10,布莱顿,1-1, 利物浦,6.22,4.19,1.53,欧/析,,20-21
2,11-28 23:00,10,曼城,5-0, 伯恩利,1.21,6.76,13.01,欧/析,,20-21
3,11-29 01:30,10,埃弗顿,0-1, 利兹联,1.98,3.50,3.72,欧/析,,20-21
4,11-29 04:00,10,西布朗,1-0, 谢菲联,2.72,3.25,2.65,欧/析,,20-21
5,11-29 22:00,10,南安普敦,2-3, 曼联,4.21,3.59,1.85,欧/析,,20-21
6,11-30 00:30,10,切尔西,0-0, 热刺,2.15,3.46,3.29,欧/析,,20-21
7,11-30 03:15,10,阿森纳,1-2, 狼队,1.94,3.61,3.83,欧/析,,20-21
8,12-01 01:30,10,莱切城,1-2, 富勒姆,1.53,4.21,6.23,欧/析,,20-21
9,12-01 04:00,10,西汉姆,2-1, 维拉,2.34,3.41,2.95,欧/析,,20-21
0,12-05 20:30,11,伯恩利,1-1, 埃弗顿,3.37,3.28,2.14,欧/析,,20-21
1,12-05 23:00,11,曼城,2-0, 富勒姆,1.09,9.98,22.66,欧/析,,20-21
2,12-06 01:30,11,西汉姆,1-3, 曼联,4.36,3.86,1.74,欧/析,,20-21
3,12-06 04:00,11,切尔西,3-1, 利兹联,1.44,4.71,6.47,欧/析,,20-21
4,12-06 20:00,11,西布朗,1-5, 水晶宫,2.44,3.55,2.71,欧/析,,20-21
5,12-06 22:15,11,谢菲联,1-2, 莱切城,3.60,3.53,1.99,欧/析,,20-21
6,12-07 00:30,11,热刺,2-0, 阿森纳,2.13,3.42,3.36,欧/析,,20-21
7,12-07 03:15,11,利物浦,4-0, 狼队,1.47,4.44,6.51,欧/析,,20-21
8,12-08 04:00,11,布莱顿,1-2, 南安普敦,2.58,3.28,2.68,欧/析,,20-21
9,01-24 04:00,11,维拉,2-0, 纽卡斯尔,1.58,4.27,5.44,欧/析,,20-21
0,12-12 04:00,12,利兹联,1-2, 西汉姆,2.06,3.67,3.34,欧/析,,20-21
1,12-12 20:30,12,狼队,0-1, 维拉,2.20,3.27,3.41,欧/析,,20-21
2,12-12 23:00,12,纽卡斯尔,2-1, 西布朗,2.27,3.37,3.12,欧/析,,20-21
3,12-13 01:30,12,曼联,0-0, 曼城,3.88,3.77,1.87,欧/析,,20-21
4,12-13 04:00,12,埃弗顿,1-0, 切尔西,3.49,3.74,1.98,欧/析,,20-21
5,12-13 20:00,12,南安普敦,3-0, 谢菲联,1.88,3.58,4.00,欧/析,,20-21
6,12-13 22:15,12,水晶宫,1-1, 热刺,4.76,3.93,1.68,欧/析,,20-21
7,12-14 00:30,12,富勒姆,1-1, 利物浦,7.52,5.16,1.35,欧/析,,20-21
8,12-14 03:15,12,阿森纳,0-1, 伯恩利,1.46,4.51,6.90,欧/析,,20-21
9,12-14 03:15,12,莱切城,3-0, 布莱顿,1.80,3.64,4.37,欧/析,,20-21
0,12-16 02:00,13,狼队,2-1, 切尔西,3.34,3.38,2.15,欧/析,,20-21
1,12-16 04:00,13,曼城,1-1, 西布朗,1.11,8.88,20.71,欧/析,,20-21
2,12-17 02:00,13,阿森纳,1-1, 南安普敦,1.75,3.90,4.42,欧/析,,20-21
3,12-17 02:00,13,利兹联,5-2, 纽卡斯尔,1.85,3.60,4.19,欧/析,,20-21
4,12-17 02:00,13,莱切城,0-2, 埃弗顿,2.09,3.59,3.37,欧/析,,20-21
5,12-17 04:00,13,富勒姆,0-0, 布莱顿,2.97,3.11,2.52,欧/析,,20-21
6,12-17 04:00,13,西汉姆,1-1, 水晶宫,1.97,3.47,3.89,欧/析,,20-21
7,12-17 04:00,13,利物浦,2-1, 热刺,1.69,4.04,4.64,欧/析,,20-21
8,12-18 02:00,13,维拉,0-0, 伯恩利,1.97,3.55,3.79,欧/析,,20-21
9,12-18 04:00,13,谢菲联,2-3, 曼联,4.34,3.64,1.83,欧/析,,20-21
0,12-19 20:30,14,水晶宫,0-7, 利物浦,6.01,4.48,1.49,欧/析,,20-21
1,12-19 23:00,14,南安普敦,0-1, 曼城,6.05,4.77,1.46,欧/析,,20-21
2,12-20 01:30,14,埃弗顿,2-1, 阿森纳,2.48,3.43,2.73,欧/析,,20-21
3,12-20 04:00,14,纽卡斯尔,1-1, 富勒姆,2.24,3.20,3.31,欧/析,,20-21
4,12-20 20:00,14,布莱顿,1-1, 谢菲联,1.98,3.25,4.03,欧/析,,20-21
5,12-20 22:15,14,热刺,0-2, 莱切城,2.00,3.58,3.52,欧/析,,20-21
6,12-21 00:30,14,曼联,6-2, 利兹联,1.62,4.21,4.88,欧/析,,20-21
7,12-21 03:15,14,西布朗,0-3, 维拉,2.93,3.41,2.35,欧/析,,20-21
8,12-22 01:30,14,伯恩利,2-1, 狼队,3.58,3.17,2.14,欧/析,,20-21
9,12-22 04:00,14,切尔西,3-0, 西汉姆,1.42,4.83,6.55,欧/析,,20-21
0,12-26 20:30,15,莱切城,2-2, 曼联,2.81,3.45,2.42,欧/析,,20-21
1,12-26 23:00,15,维拉,3-0, 水晶宫,2.04,3.45,3.58,欧/析,,20-21
2,12-26 23:00,15,富勒姆,0-0, 南安普敦,3.34,3.45,2.11,欧/析,,20-21
3,12-27 01:30,15,阿森纳,3-1, 切尔西,3.15,3.60,2.13,欧/析,,20-21
4,12-27 04:00,15,曼城,2-0, 纽卡斯尔,1.13,8.78,16.92,欧/析,,20-21
5,12-27 04:00,15,谢菲联,0-1, 埃弗顿,3.92,3.64,1.88,欧/析,,20-21
6,12-27 20:00,15,利兹联,1-0, 伯恩利,1.74,3.89,4.40,欧/析,,20-21
7,12-27 22:15,15,西汉姆,2-2, 布莱顿,2.04,3.50,3.55,欧/析,,20-21
8,12-28 00:30,15,利物浦,1-1, 西布朗,1.13,8.91,17.97,欧/析,,20-21
9,12-28 03:15,15,狼队,1-1, 热刺,3.26,3.50,2.13,欧/析,,20-21
0,12-28 23:00,16,水晶宫,1-1, 莱切城,3.62,3.46,2.00,欧/析,,20-21
1,12-29 01:30,16,切尔西,1-1, 维拉,1.42,4.83,6.68,欧/析,,20-21
2,12-30 02:00,16,布莱顿,0-1, 阿森纳,3.03,3.29,2.32,欧/析,,20-21
3,12-30 02:00,16,伯恩利,1-0, 谢菲联,2.19,3.14,3.49,欧/析,,20-21
4,12-30 02:00,16,南安普敦,0-0, 西汉姆,2.04,3.62,3.43,欧/析,,20-21
5,12-30 02:00,16,西布朗,0-5, 利兹联,3.39,3.47,2.08,欧/析,,20-21
6,12-30 04:00,16,曼联,1-0, 狼队,1.64,3.81,5.32,欧/析,,20-21
7,12-31 04:00,16,纽卡斯尔,0-0, 利物浦,6.57,4.70,1.44,欧/析,,20-21
8,01-14 04:15,16,热刺,1-1, 富勒姆,1.33,5.16,9.44,欧/析,,20-21
9,02-18 04:15,16,埃弗顿,1-3, 曼城,6.12,4.16,1.53,欧/析,,20-21
0,01-02 01:30,17,埃弗顿,0-1, 西汉姆,2.04,3.50,3.51,欧/析,,20-21
1,01-02 04:00,17,曼联,2-1, 维拉,1.62,4.11,4.95,欧/析,,20-21
2,01-02 20:30,17,热刺,3-0, 利兹联,1.68,4.10,4.46,欧/析,,20-21
3,01-02 23:00,17,水晶宫,2-0, 谢菲联,2.09,3.44,3.44,欧/析,,20-21
4,01-03 01:30,17,布莱顿,3-3, 狼队,2.31,3.24,3.12,欧/析,,20-21
5,01-03 04:00,17,西布朗,0-4, 阿森纳,5.39,4.04,1.60,欧/析,,20-21
6,01-03 22:15,17,纽卡斯尔,1-2, 莱切城,4.69,3.68,1.75,欧/析,,20-21
7,01-04 00:30,17,切尔西,1-3, 曼城,3.20,3.61,2.14,欧/析,,20-21
8,01-05 04:00,17,南安普敦,1-0, 利物浦,4.04,3.97,1.78,欧/析,,20-21
9,02-18 02:00,17,伯恩利,1-1, 富勒姆,2.51,3.21,2.88,欧/析,,20-21
0,01-13 02:00,18,谢菲联,1-0, 纽卡斯尔,2.63,3.28,2.68,欧/析,,20-21
1,01-13 04:15,18,狼队,1-2, 埃弗顿,2.63,3.42,2.59,欧/析,,20-21
2,01-14 02:00,18,曼城,1-0, 布莱顿,1.19,6.92,13.73,欧/析,,20-21
3,01-15 04:00,18,阿森纳,0-0, 水晶宫,1.54,4.11,5.97,欧/析,,20-21
4,01-20 02:00,18,西汉姆,2-1, 西布朗,1.67,3.84,4.93,欧/析,,20-21
5,01-20 04:15,18,莱切城,2-0, 切尔西,2.91,3.51,2.34,欧/析,,20-21
6,01-21 04:15,18,富勒姆,1-2, 曼联,6.19,4.34,1.49,欧/析,,20-21
7,01-22 04:00,18,利物浦,0-1, 伯恩利,1.17,7.08,16.56,欧/析,,20-21
8,02-24 02:00,18,利兹联,3-0, 南安普敦,2.29,3.75,2.77,欧/析,,20-21
9,03-22 03:30,18,维拉,0-2, 热刺,3.32,3.37,2.14,欧/析,,20-21
0,01-16 20:30,19,狼队,2-3, 西布朗,1.45,4.23,7.61,欧/析,,20-21
1,01-16 23:00,19,利兹联,0-1, 布莱顿,1.96,3.84,3.44,欧/析,,20-21
2,01-16 23:00,19,西汉姆,1-0, 伯恩利,1.96,3.14,4.38,欧/析,,20-21
3,01-17 01:30,19,富勒姆,0-1, 切尔西,5.97,4.11,1.54,欧/析,,20-21
4,01-17 04:00,19,莱切城,2-0, 南安普敦,1.96,3.50,3.79,欧/析,,20-21
5,01-17 22:00,19,谢菲联,1-3, 热刺,5.08,3.89,1.66,欧/析,,20-21
6,01-18 00:30,19,利物浦,0-0, 曼联,1.98,3.73,3.47,欧/析,,20-21
7,01-18 03:15,19,曼城,4-0, 水晶宫,1.16,7.48,14.56,欧/析,,20-21
8,01-19 04:00,19,阿森纳,3-0, 纽卡斯尔,1.52,4.18,6.15,欧/析,,20-21
9,05-14 01:00,19,维拉,0-0, 埃弗顿,2.44,3.38,2.90,欧/析,,20-21
0,01-27 02:00,20,纽卡斯尔,1-2, 利兹联,3.31,3.46,2.14,欧/析,,20-21
1,01-27 02:00,20,水晶宫,2-3, 西汉姆,2.42,3.26,2.97,欧/析,,20-21
2,01-27 04:15,20,西布朗,0-5, 曼城,11.41,6.39,1.24,欧/析,,20-21
3,01-27 04:15,20,南安普敦,1-3, 阿森纳,2.84,3.46,2.39,欧/析,,20-21
4,01-28 02:00,20,伯恩利,3-2, 维拉,3.16,3.34,2.25,欧/析,,20-21
5,01-28 02:00,20,切尔西,0-0, 狼队,1.46,4.42,7.02,欧/析,,20-21
6,01-28 03:30,20,布莱顿,0-0, 富勒姆,1.86,3.57,4.15,欧/析,,20-21
7,01-28 04:15,20,埃弗顿,1-1, 莱切城,2.40,3.49,2.82,欧/析,,20-21
8,01-28 04:15,20,曼联,1-2, 谢菲联,1.23,6.23,11.79,欧/析,,20-21
9,01-29 04:00,20,热刺,1-3, 利物浦,3.03,3.54,2.24,欧/析,,20-21
0,01-30 20:30,21,埃弗顿,0-2, 纽卡斯尔,1.44,4.44,7.07,欧/析,,20-21
1,01-30 23:00,21,水晶宫,1-0, 狼队,2.80,3.18,2.63,欧/析,,20-21
2,01-30 23:00,21,曼城,1-0, 谢菲联,1.15,8.04,17.03,欧/析,,20-21
3,01-30 23:00,21,西布朗,2-2, 富勒姆,2.72,3.22,2.65,欧/析,,20-21
4,01-31 01:30,21,阿森纳,0-0, 曼联,2.77,3.45,2.47,欧/析,,20-21
5,01-31 04:00,21,南安普敦,0-1, 维拉,2.42,3.50,2.83,欧/析,,20-21
6,01-31 20:00,21,切尔西,2-0, 伯恩利,1.38,4.97,7.80,欧/析,,20-21
7,01-31 22:00,21,莱切城,1-3, 利兹联,1.85,3.80,3.91,欧/析,,20-21
8,02-01 00:30,21,西汉姆,1-3, 利物浦,4.78,4.06,1.66,欧/析,,20-21
9,02-01 03:15,21,布莱顿,1-0, 热刺,3.78,3.51,1.96,欧/析,,20-21
0,02-03 02:00,22,谢菲联,2-1, 西布朗,2.09,3.32,3.57,欧/析,,20-21
1,02-03 02:00,22,狼队,2-1, 阿森纳,3.46,3.32,2.13,欧/析,,20-21
2,02-03 04:15,22,曼联,9-0, 南安普敦,1.48,4.60,6.20,欧/析,,20-21
3,02-03 04:15,22,纽卡斯尔,1-2, 水晶宫,2.68,3.27,2.63,欧/析,,20-21
4,02-04 02:00,22,伯恩利,0-2, 曼城,10.72,6.36,1.23,欧/析,,20-21
5,02-04 02:00,22,富勒姆,0-2, 莱切城,3.61,3.54,2.02,欧/析,,20-21
6,02-04 03:30,22,利兹联,1-2, 埃弗顿,2.46,3.70,2.59,欧/析,,20-21
7,02-04 04:15,22,维拉,1-3, 西汉姆,2.08,3.66,3.27,欧/析,,20-21
8,02-04 04:15,22,利物浦,0-1, 布莱顿,1.34,4.95,8.85,欧/析,,20-21
9,02-05 04:00,22,热刺,0-1, 切尔西,2.72,3.54,2.43,欧/析,,20-21
0,02-06 20:30,23,维拉,1-0, 阿森纳,2.68,3.50,2.49,欧/析,,20-21
1,02-06 23:00,23,伯恩利,1-1, 布莱顿,2.44,3.22,2.96,欧/析,,20-21
2,02-06 23:00,23,纽卡斯尔,3-2, 南安普敦,3.64,3.37,2.05,欧/析,,20-21
3,02-07 01:30,23,富勒姆,0-0, 西汉姆,2.98,3.46,2.33,欧/析,,20-21
4,02-07 04:00,23,曼联,3-3, 埃弗顿,1.59,3.85,6.09,欧/析,,20-21
5,02-07 20:00,23,热刺,2-0, 西布朗,1.27,5.71,10.63,欧/析,,20-21
6,02-07 22:00,23,狼队,0-0, 莱切城,3.19,3.28,2.30,欧/析,,20-21
7,02-08 00:30,23,利物浦,1-4, 曼城,2.73,3.54,2.46,欧/析,,20-21
8,02-08 03:15,23,谢菲联,1-2, 切尔西,5.56,3.83,1.63,欧/析,,20-21
9,02-09 04:00,23,利兹联,2-0, 水晶宫,1.69,3.95,4.56,欧/析,,20-21
0,02-13 20:30,24,莱切城,3-1, 利物浦,3.61,3.76,1.91,欧/析,,20-21
1,02-13 23:00,24,水晶宫,0-3, 伯恩利,2.12,3.11,3.67,欧/析,,20-21
2,02-14 01:30,24,曼城,3-0, 热刺,1.36,5.37,7.21,欧/析,,20-21
3,02-14 04:00,24,布莱顿,0-0, 维拉,2.92,3.40,2.33,欧/析,,20-21
4,02-14 20:00,24,南安普敦,1-2, 狼队,2.29,3.17,3.20,欧/析,,20-21
5,02-14 22:00,24,西布朗,1-1, 曼联,7.67,5.02,1.36,欧/析,,20-21
6,02-15 00:30,24,阿森纳,4-2, 利兹联,1.74,3.81,4.43,欧/析,,20-21
7,02-15 03:00,24,埃弗顿,0-2, 富勒姆,1.61,3.97,5.21,欧/析,,20-21
8,02-16 02:00,24,西汉姆,3-0, 谢菲联,1.71,3.72,4.99,欧/析,,20-21
9,02-16 04:00,24,切尔西,2-0, 纽卡斯尔,1.26,5.87,10.53,欧/析,,20-21
0,02-20 04:00,25,狼队,1-0, 利兹联,2.36,3.22,3.02,欧/析,,20-21
1,02-20 20:30,25,南安普敦,1-1, 切尔西,4.07,3.80,1.82,欧/析,,20-21
2,02-20 23:00,25,伯恩利,0-0, 西布朗,2.12,3.23,3.61,欧/析,,20-21
3,02-21 01:30,25,利物浦,0-2, 埃弗顿,1.57,4.28,5.25,欧/析,,20-21
4,02-21 04:00,25,富勒姆,1-0, 谢菲联,2.40,3.06,3.19,欧/析,,20-21
5,02-21 20:00,25,西汉姆,2-1, 热刺,2.73,3.30,2.56,欧/析,,20-21
6,02-21 22:05,25,维拉,1-2, 莱切城,2.84,3.45,2.40,欧/析,,20-21
7,02-22 00:30,25,阿森纳,0-1, 曼城,5.74,4.25,1.55,欧/析,,20-21
8,02-22 03:00,25,曼联,3-1, 纽卡斯尔,1.29,5.46,9.97,欧/析,,20-21
9,02-23 04:00,25,布莱顿,1-2, 水晶宫,2.16,3.22,3.47,欧/析,,20-21
0,02-27 20:30,26,曼城,2-1, 西汉姆,1.25,5.83,10.54,欧/析,,20-21
1,02-27 23:00,26,西布朗,1-0, 布莱顿,3.35,3.11,2.24,欧/析,,20-21
2,02-28 01:30,26,利兹联,0-1, 维拉,2.50,3.43,2.69,欧/析,,20-21
3,02-28 04:00,26,纽卡斯尔,1-1, 狼队,3.32,3.02,2.30,欧/析,,20-21
4,02-28 20:00,26,水晶宫,0-0, 富勒姆,2.58,3.08,2.89,欧/析,,20-21
5,02-28 20:00,26,莱切城,1-3, 阿森纳,2.11,3.47,3.35,欧/析,,20-21
6,02-28 22:00,26,热刺,4-0, 伯恩利,1.55,4.14,5.71,欧/析,,20-21
7,03-01 00:30,26,切尔西,0-0, 曼联,2.10,3.57,3.32,欧/析,,20-21
8,03-01 03:15,26,谢菲联,0-2, 利物浦,5.77,4.22,1.54,欧/析,,20-21
9,03-02 04:00,26,埃弗顿,1-0, 南安普敦,2.11,3.43,3.41,欧/析,,20-21
0,03-06 20:30,27,伯恩利,1-1, 阿森纳,4.03,3.43,1.90,欧/析,,20-21
1,03-06 23:00,27,谢菲联,0-2, 南安普敦,3.36,3.40,2.12,欧/析,,20-21
2,03-07 01:30,27,维拉,0-0, 狼队,2.16,3.34,3.32,欧/析,,20-21
3,03-07 04:00,27,布莱顿,1-2, 莱切城,3.38,3.39,2.13,欧/析,,20-21
4,03-07 20:00,27,西布朗,0-0, 纽卡斯尔,2.74,3.24,2.62,欧/析,,20-21
5,03-07 22:00,27,利物浦,0-1, 富勒姆,1.24,6.01,11.68,欧/析,,20-21
6,03-08 00:30,27,曼城,0-2, 曼联,1.62,4.04,5.24,欧/析,,20-21
7,03-08 03:15,27,热刺,4-1, 水晶宫,1.62,3.88,5.50,欧/析,,20-21
8,03-09 02:00,27,切尔西,2-0, 埃弗顿,1.66,3.91,5.13,欧/析,,20-21
9,03-09 04:00,27,西汉姆,2-0, 利兹联,1.93,3.62,3.64,欧/析,,20-21
0,03-13 04:00,28,纽卡斯尔,1-1, 维拉,3.37,3.48,2.10,欧/析,,20-21
1,03-13 20:30,28,利兹联,0-0, 切尔西,4.65,4.04,1.67,欧/析,,20-21
2,03-13 23:00,28,水晶宫,1-0, 西布朗,2.13,3.31,3.44,欧/析,,20-21
3,03-14 01:30,28,埃弗顿,1-2, 伯恩利,1.93,3.53,3.83,欧/析,,20-21
4,03-14 04:00,28,富勒姆,0-3, 曼城,10.77,6.02,1.25,欧/析,,20-21
5,03-14 20:00,28,南安普敦,1-2, 布莱顿,2.59,2.98,2.99,欧/析,,20-21
6,03-14 22:00,28,莱切城,5-0, 谢菲联,1.46,4.37,6.77,欧/析,,20-21
7,03-15 00:30,28,阿森纳,2-1, 热刺,2.43,3.39,2.83,欧/析,,20-21
8,03-15 03:15,28,曼联,1-0, 西汉姆,1.55,4.20,5.49,欧/析,,20-21
